Metals and Alloys,unit,Quantity 2010-11(R),Value 2010-11(R),Quantity 2011-12,Value 2011-12,Quantity 2012-13 (P),Value 2012-13 (P)
Silver clad base metals,Kg,13953,224466,12055,33044,563,4616
Silicon,tonne,201,24020,247,23896,92,10418
Tantalum and scrap - Total,tonne,5,23218,2,35834,7,78085
Tantalum and scrap - Tantalum alloys unwrought,tonne,3,9280,NA,11957,5,52704
Tantalum and scrap - Tantalum and scrap,tonne,2,13938,2,23877,2,25381
Tellurium,tonne,58,13331,13,836,31,3478
Tin and alloys (incl. scrap) - Total,tonne,1900,403662,1673,413908,1497,329765
Tin and alloys (incl. scrap) - Tin and alloys,tonne,274,195481,344,277913,186,179346
Tin and alloys (incl. scrap) - Tin and alloys Worked,tonne,1535,189388,1317,130331,1271,146624
Tin and alloys (incl. scrap) - Tin (scrap),tonne,91,18793,12,5664,40,3795
Titanium and Alloys (incl. waste and scrap ),tonne,211,233571,399,338371,202,268751
Tungsten alloys and scrap,Kg,430970,669662,638430,1423388,408664,1951349
Zinc and alloys (incl. scrap) - Total,tonne,264251,32248477,295071,36266217,198675,24676379
Zinc and alloys (incl. scrap) - Zinc and alloys,tonne,264219,32244982,295033,36262165,198598,24669480
Zinc and alloys (incl. scrap) - Zinc (scrap),tonne,32,3495,38,4052,77,6899
Zirconium and Scrap,tonne,26,6799,645,112251,1,343
