Metals and Alloys,Unit,Quantity 2010-11(R),Value 2010-11(R),Quantity 2011-12,Value 2011-12
Ferro alloys - Ferro-zirconium,tonne,26,1706,115,10269
Ferro alloys - Ferro silico-chrome,tonne,50476,878413,15,903
Ferro alloys - Ferro-silico-magnesium,tonne,3955,308922,7047,688615
Ferro alloys - Ferro silico-manganese,tonne,572551,32265076,732424,37641216
Ferro alloys - Ferro-alloys (others),tonne,1405,67904,18024,844699
"Gold,non-monetory and monetory - Total",Kg,34595,4275544,169126,19799367
"Gold,non-monetory and monetory - Gold- Monetory",Kg,NA,NA,6,48584
"Gold,non-monetory and monetory - Gold,non-monetory  - Total",Kg,34595,4275544,169120,19750783
"Gold,non-monetory and monetory - Gold,non-monetory - Powder",Kg,16,161,NA,NA
"Gold,non-monetory and monetory - Gold,non-monetory - Other unwrought forms",Kg,34492,4155091,169092,19721769
"Gold,non-monetory and monetory - Gold,non-monetory - Other Semi-manufactured form",Kg,87,120292,28,29014
Gold - clad metales / base metals NES,tonne,1,862,NA,1423
Iron and Steel - Total,tonne,8353454,505936539,9257059,606834662
Iron and Steel - Iron and Steel(Finished steel incld. C.R. sheets),tonne,4276634,247627934,4092036,239679414
Iron and Steel - Iron and Steel (Semi-finished steel incl. ingots),tonne,2462885,105597743,3077643,142508319
Iron and Steel - Iron and Steel (Steel wire),tonne,101051,13540016,180872,19154467
Iron and Steel - Iron and Steel (Sponge iron),tonne,76290,1428667,84437,2019420
Iron and Steel - Iron and Steel (scrap),tonne,8301,538084,7301,601715
Iron and Steel - Iron and Steel  Alloy steel (Granules)),tonne,732,105131,724,49473
Iron and Steel - Iron and Steel  Alloy steel (Powder)),tonne,89,7605,134,15496
"Iron and Steel - Iron and Steel (Other finished steel, NES)",tonne,1427472,137091359,1813912,202806358
Lead and alloys and scrap - Total,tonne,48646,5153688,69629,9074327
Lead and alloys and scrap - Lead and alloys,tonne,48536,5144743,69628,9074324
Lead and alloys and scrap - Lead (scrap),tonne,110,8945,1,3
Magnesium and scrap,tonne,87,9232,303,43335
Manganese and alloys ( incl. waste and scrap ),tonne,143,118051,57,51592
Manganese and alloys (Unwrought and Wrought),tonne,75,62960,29,42886
Manganese andAlloys NES,tonne,68,55091,20,8239
Manganese waste and scrap,tonne,NA,NA,8,467
Mercury,tonne,95,146840,69,121620
Molybdenum and scrap,tonne,19,61006,27,67508
Nickel and alloys (incl. scrap) - Total,tonne,1429,1500386,5340,5886670
Nickel and alloys (incl. scrap) - Nickel and alloys,tonne,1260,1424425,5218,5842047
Nickel and alloys (incl. scrap) - Nickel (scrap),tonne,169,75961,122,44623
Other rare metals NES,tonne,12,6915,10,25736
Pig and cast iron incl. spiegeliesen,tonne,807783,15412694,821428,27396836
"Platinum,Alloys and related Metals - Total",Kg,3367,231945,382,213170
